atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,contributes_to
1526,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,10059,1.257319992250339,
1527,Uninformative,0,,20449,2.5560131744236188,
1528,Uninformative,0,,16,0.0019999125038279,
1529,Uninformative,0,,2351,0.2938621435312205,
1530,Uninformative,0,,1550,0.1937415238083334,
1531,Uninformative,0,,2435,0.3043616841763172,
1532,Uninformative,0,,31501,3.937452736442781,
1533,Uninformative,0,,18123,2.26527589417963,
1534,Uninformative,0,,10,0.0012499453148924,
1535,Uninformative,0,,5348,0.6684707544044948,
