atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,category_grouped,n_enriched_groups,enriched_groups,entangled_subtype
924,Uninformative,0,,19205,2.4005199772509958,Uninformative,0,,
925,Uninformative,0,,12,0.0014999343778709,Uninformative,0,,
926,Uninformative,0,,37203,4.650171554994469,Uninformative,0,,
927,Uninformative,0,,65,0.008124644546801,Uninformative,0,,
928,Uninformative,0,,69905,8.737742723755836,Uninformative,0,,
929,Uninformative,0,,299,0.0373733649152849,Uninformative,0,,
930,Uninformative,0,,13484,1.6854262626010112,Uninformative,0,,
931,Separable,1,TXT:Marked sinus bradycardia,3658,0.4572299961876668,Separable,1,bradycardia,
932,Uninformative,0,,52,0.0064997156374408,Uninformative,0,,
933,Uninformative,0,,5448,0.6809702075534195,Uninformative,0,,
934,Uninformative,0,,34571,4.32118594811477,Uninformative,0,,
935,Uninformative,0,,60067,7.50804652296462,Uninformative,0,,
936,Uninformative,0,,178,0.022249026605086,Uninformative,0,,
937,Uninformative,0,,10913,1.3640653221421564,Uninformative,0,,
938,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
939,Uninformative,0,,60681,7.584793165299018,Uninformative,0,,
940,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
941,Uninformative,0,,7523,0.9403338603936078,Uninformative,0,,
942,Uninformative,0,,14424,1.802921122200904,Uninformative,0,,
943,Uninformative,0,,42329,5.290893523408351,Uninformative,0,,
944,Separable,1,TXT:Anterolateral infarct - age undetermined,24196,3.024367683913829,Separable,1,infarct_anterolateral,
945,Uninformative,0,,51488,6.435718437318367,Uninformative,0,,
946,Uninformative,0,,59566,7.445424262688507,Uninformative,0,,
947,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,5425,0.6780953333291668,Separable,1,pvc,
948,Uninformative,0,,42416,5.301768047647915,Uninformative,0,,
949,Uninformative,0,,588,0.0734967845156774,Uninformative,0,,
950,Uninformative,0,,1417,0.1771172511202635,Uninformative,0,,
951,Uninformative,0,,12765,1.5955551944602424,Uninformative,0,,
952,Uninformative,0,,3,0.0003749835944677,Uninformative,0,,
953,Uninformative,0,,8,0.0009999562519139,Uninformative,0,,
954,Uninformative,0,,75,0.0093745898616935,Uninformative,0,,
955,Uninformative,0,,8,0.0009999562519139,Uninformative,0,,
956,Uninformative,0,,59684,7.460173617404238,Uninformative,0,,
957,Uninformative,0,,2231,0.2788627997525108,Uninformative,0,,
958,Uninformative,0,,56490,7.060941083827583,Uninformative,0,,
959,Uninformative,0,,81209,10.150680907710289,Uninformative,0,,
960,Uninformative,0,,2831,0.3538595186460592,Uninformative,0,,
961,Uninformative,0,,7104,0.8879611516996131,Uninformative,0,,
962,Uninformative,0,,577,0.0721218446692957,Uninformative,0,,
963,Uninformative,0,,16279,2.0347859781134576,Uninformative,0,,
964,Uninformative,0,,3,0.0003749835944677,Uninformative,0,,
965,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
966,Uninformative,0,,1639,0.2048660371108764,Uninformative,0,,
967,Uninformative,0,,34,0.0042498140706344,Uninformative,0,,
968,Uninformative,0,,1397,0.1746173604904785,Uninformative,0,,
969,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
970,Uninformative,0,,111834,13.978638434568488,Uninformative,0,,
971,Uninformative,0,,62862,7.857406238477067,Uninformative,0,,
972,Uninformative,0,,11361,1.4200628722493391,Uninformative,0,,
973,Uninformative,0,,16,0.0019999125038279,Uninformative,0,,
974,Uninformative,0,,3556,0.4444805539757636,Uninformative,0,,
975,Uninformative,0,,8309,1.0385795621441565,Uninformative,0,,
976,Separable,1,TXT:Marked sinus bradycardia,14561,1.8200453730149304,Separable,1,bradycardia,
977,Uninformative,0,,71592,8.948608498378196,Uninformative,0,,
978,Uninformative,0,,3,0.0003749835944677,Uninformative,0,,
979,Uninformative,0,,10,0.0012499453148924,Uninformative,0,,
980,Uninformative,0,,28,0.0034998468816989,Uninformative,0,,
981,Uninformative,0,,90428,11.30300549350966,Uninformative,0,,
982,Uninformative,0,,70026,8.752867062066034,Uninformative,0,,
983,Uninformative,0,,29594,3.699088164892786,Uninformative,0,,
984,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
985,Uninformative,0,,8246,1.0307049066603335,Uninformative,0,,
986,Uninformative,0,,37132,4.641296943258732,Uninformative,0,,
987,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
988,Separable,1,TXT:Incomplete RBBB,36070,4.508552750817152,Separable,1,bbb_block,
989,Uninformative,0,,19286,2.4106445343016243,Uninformative,0,,
990,Uninformative,0,,818,0.1022455267582043,Uninformative,0,,
991,Uninformative,0,,7037,0.8795865180898336,Uninformative,0,,
992,Uninformative,0,,19701,2.462517264869662,Uninformative,0,,
993,Uninformative,0,,72,0.0089996062672258,Uninformative,0,,
994,Separable,1,TXT:Marked sinus bradycardia,5999,0.7498421944039948,Separable,1,bradycardia,
995,Uninformative,0,,7050,0.8812114469991937,Uninformative,0,,
996,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
997,Uninformative,0,,16519,2.064784665670877,Uninformative,0,,
998,Uninformative,0,,825,0.103120488478629,Uninformative,0,,
